Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
New Levels New Devils,,Polyphia,,Rock,,,,,,4,,,,,,
The Game,,Queen,,Rock,,,,,,4,,,,,,
Murmur,,R.E.M.,,Rock,,,,,,4,,,,,,
Live on Tour 1993,,Rage Against the Machine,,Rock,,,,,,4,,,,,,
Crazy Ideas,,"Rooney, Mickey Jr.",,Rock,,,,,,4,,,,,,
Moving Pictures,,Rush,,Rock,,,,,,4,,,,,,
Rush,,Rush,,Rock,,,,,,4,,,,,,
7,,Steppenwolf,,Rock,,,,,,4,,,,,,
16 Greatest Hits,,Steppenwolf,,Rock,,,,,,4,,,,,,
Buddha and the Chocolate Box,,"Stevens, Cat",,Rock,,,,,,4,,,,,,
Every Picture Tells a Story,,"Stewart, Rod",,Rock,,,,,,4,,,,,,
Freak Out,,The Mothers of Invention,,Rock,,,,,,4,,,,,,
John Barleycorn Must Die,,Traffic,,Rock,,,,,,4,,,,,,
Mr. Fantasy,,Traffic,,Rock,,,,,,4,,,,,,
Traffic,,Traffic,,Rock,,,,,,4,,,,,,
1984,,Van Halen,,Rock,,,,,,4,,,,,,
Arizona Sounds Volume 5,,Various,,Rock,,,,,,4,,,,,,
Outta' Sight,,Various,,Rock,,,,,,4,,,,,,
Winners,,Various,,Rock,,,,,,4,,,,,,
Over the Rainbow,,Virgin Prunes,,Rock,,,,,,4,,,,,,
The Dark Side of the Moon Redux Live,,"Waters, Roger",,Rock,,,,,,4,,,,,,
Yankee Hotel Foxtrot,,Wilco,,Rock,,,,,,4,,,,,,
Godspell,,Colombia Pictures,,Soundtrack,,,,,,4,,,,,,
Koyaanisqatsi,,"Glass, Philip",,Soundtrack,,,,,,4,,,,,,
Doctor Dolittle,,"Harrison, Rex",,Soundtrack,,,,,,4,,,,,,
The Sting,,"Joplin, Scott",,Soundtrack,,,,,,4,,,,,,
Hamilton,,"Miranda, Lin-Manuel",,Soundtrack,,,,,,4,,,,,,
Jumbo,,Ornadel and the Starlight Symphony,,Soundtrack,,,,,,4,,,,,,
The Sound of Music,,Rodgers and Hammerstein,,Soundtrack,,,,,,4,,,,,,
Victory at Sea,,"Rodgers, Richard",,Soundtrack,,,,,,4,,,,,,
